section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to
meta,live_time,,,14400.001,,,,,,,,,,,,
meta,chi2ndf,,,1.3888797611387949,,,,,,,,,,,,
meta,chi2ndf_pois,,,2.6992513024457421,,,,,,,,,,,,
meta,model_residual,,,0.12140080911693331,,,,,,,,,,,,
meta,gain,,,1.0030475112031818,,,,,,,,,,,,
meta,offset_channels,,,1.1493451306711198,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,
component,Pb-214,Single,1,47.706700557590842,71.958155508501378,0.78189897791523144,1.5753517715072236,58030.030979559662,39.769756101827248,,Ra-226,,,,,
component,Bi-214,Single,1,46.968560786190707,56.262301808975607,0.91261056938214835,1.8476216722206777,35520.993688974057,46.305472643952072,,Ra-226,,,,,
component,Pb-210,Single,1,14.446669520599988,4.6023824594934446,4.9472787190846965,9.9931375652156333,680.6529033127548,0.40674754459417684,,Ra-226,,,,,
component,Th-232,Single,1,1632.8370474593371,26.201679325027623,80.660421122925811,162.900251725668,6460.55037147909,3.8948528662024686,,Th-232,,,,,
component,Pb-212,Single,1,5.082655941552785,14.275852620208729,0.54361338040613738,1.0932873766766047,6272.8181207816815,4.2205780273603564,,Th-232,,,,,
component,Th-228,Single,1,5.082655941552785,14.275852620208729,0.54361338040613738,1.0932873766766047,134.81265837512726,0.083717868602279463,,Th-232,,,,,Pb-212
component,Ra-224,Single,1,5.082655941552785,14.275852620208729,0.54361338040613738,1.0932873766766047,319.5754672725173,0.24214741665895051,,Th-232,,,,,Pb-212
component,Bi-212,Single,1,22.602670313693245,4.409254285699963,8.11319101991451,16.450196945174095,2717.6516710012233,2.3464415068331048,,Th-232,,,,,
component,Tl-208,Single,1,3.7534604617570104,4.2279692769174737,1.390956698012058,2.8344178714373935,2346.3974740463468,2.7302860239693532,,Th-232,,,,,
limit,Ra-226,Single,0,0,,9.3075219534977087,18.777719874830954,,,,Ra-226,5.133635718208,1319.1128006110137,0,0.64255112273158921,
limit,Rn-222,Single,0,0,,586.20521051482035,1187.4236868712494,,,,Ra-226,0.0783042308748,687.93591818718994,0,0.58228655127412987,
limit,Pb-214,Single,1,47.706700557590842,,0.78189897791523144,1.5753517715072236,,,,Ra-226,94.505653357680131,1916.2447001320122,0,0.65922292397890669,
limit,Bi-214,Single,1,46.968560786190707,,0.91261056938214835,1.8476216722206777,,,,Ra-226,122.71895281633157,1397.3039978235433,0,0.75492645646953083,
limit,Pb-210,Single,1,14.446669520599988,,4.9472787190846965,9.9931375652156333,,,,Ra-226,26.91627,470.8253405581666,0,0.41685142814109488,
limit,Po-214,Single,0,0,,4384.0688923426724,8884.2177932855611,,,,Ra-226,0.010353,477.05734867465941,0,0.42143103262481085,
limit,Th-232,Single,1,1632.8370474593371,,80.660421122925811,162.900251725668,,,,Th-232,7.423185247404,644.53785112106323,0,0.21922361268056645,
limit,Ac-228,Single,0,0,,1.7226894019870036,3.4727485336509671,,,,Th-232,145.35600000000002,4481.5413708260348,0,0.865203639823189,
limit,Rn-220,Single,0,0,,457.63837101228353,927.22290652821664,,,,Th-232,0.114,605.00680045097181,0,0.65663899351540322,
limit,Po-216,Single,0,0,,26331.276963916054,53367.628944431,,,,Th-232,0.001920532684989,486.57596673573892,0,0.42716931181288142,
limit,Pb-212,Single,1,5.082655941552785,,0.54361338040613738,1.0932873766766047,,,,Th-232,95.4808434613717,1493.0763608719908,0,0.44061383666773568,
limit,Bi-212,Single,1,22.602670313693245,,8.11319101991451,16.450196945174095,,,,Th-232,19.710290382119197,1977.9036988062312,0,0.73760322111318521,
limit,Tl-208,Single,1,3.7534604617570104,,1.390956698012058,2.8344178714373935,,,,Th-232,237.97700000000003,1771.877178857859,0,0.73389009009329054,
limit,Po-210,Single,0,0,,4384.0688923426724,8884.2177932855611,,,,Ra-226,0.0010412013754128,44.034389864750914,0,0.42143103262481085,Po-214
limit,Th-228,Single,1,5.082655941552785,,0.54361338040613738,1.0932873766766047,,,,Th-232,10.105904793021921,28.983874744402652,0,0.44061383666773568,Pb-212
limit,Ra-224,Single,1,5.082655941552785,,0.54361338040613738,1.0932873766766047,,,,Th-232,4.9110716456426715,68.727443228093577,0,0.44061383666773568,Pb-212
