section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,57251.353714071425,,,,,,,,,,,,,
meta,chi2ndf,,,2.8899770839081831,,,,,,,,,,,,,
meta,chi2ndf_pois,,,30.046940947470514,,,,,,,,,,,,,
meta,model_residual,,,0.28751590581432351,,,,,,,,,,,,,
meta,gain,,,1.0106110329038889,,,,,,,,,,,,,
meta,offset_channels,,,0,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Th-232,Single,1,617.441444071949,101.0892034978599,8.2297205300395877,16.505883016294952,349.87385377514,0.00635139595834281,Th-232,Th-232,,,,,,
component,Ac-228,Single,1,617.441444071949,101.0892034978599,,,733469.85234565975,40.40921469441038,Th-232,Th-232,,,,,,
component,Th-228,Single,1,617.441444071949,101.0892034978599,,,5587.18167628062,0.13568711296841784,Th-232,Th-232,,,,,,
component,Ra-224,Single,1,617.441444071949,101.0892034978599,,,27738.236102102892,1.1735668612295154,Th-232,Th-232,,,,,,
component,Rn-220,Single,1,617.441444071949,101.0892034978599,,,431.99612146962858,0.04278990567705359,Th-232,Th-232,,,,,,
component,Po-216,Single,1,617.441444071949,101.0892034978599,,,5.9273817278289771,0.00076882975205489433,Th-232,Th-232,,,,,,
component,Pb-212,Single,1,617.441444071949,101.0892034978599,,,377967.69063091459,14.305716931105373,Th-232,Th-232,,,,,,
component,Bi-212,Single,1,617.441444071949,101.0892034978599,,,68439.807983048231,4.8215245838909,Th-232,Th-232,,,,,,
component,Tl-208,Single,1,617.441444071949,101.0892034978599,,,370086.41768193734,36.438958468364341,Th-232,Th-232,,,,,,
component,Xray-Th,Nuisance,1,344.01340683939594,17.665423810159954,,,157907.38856342572,2.6654212166436269,,,,,,,,
limit,Th-232,Chain,1,617.441444071949,,8.2297205300395877,16.505883016294952,,,,Th-232,237.97700000000003,46941.420506295523,0,0.87949404841480938,,
limit,Ra-226,Chain,0,0,,8.7324185561955741,17.497260995470317,,,,Ra-226,122.71895281633157,36496.228527083411,0,0.81154460116267957,,
