node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,11.128,0,0,0.000,0,0.000,0.87578734689505022,0.64146150871971486,0.012193586395079526,0.033353241677039978,0.87494154695610327,0.63942215649478507,0.012263122647808202,0.03348809376027944,1.0529650336629503E-12,1.0562407831527204E-12,3000000
1,5.235,3000000,100.000,12.495,0,0,0.000,0,0.000,0.8318664223416482,0.534921303287147,0.017544640076889797,0.046551426301167764,0.837569455258963,0.548042924493412,0.016235515750905427,0.043457739136557996,7.8336712529045E-12,8.8310508833693845E-12,3000000
2,5.482,3000000,100.000,14.497,0,0,0.000,0,0.000,0.80133186524690714,0.46006173912296167,0.017752729870591243,0.045159044950337374,0.80434641547098273,0.46733704251613195,0.017301386562735051,0.0440041853737878,5.3747281976913838E-11,5.5172882358493277E-11,3000000
3,5.740,3000000,100.000,13.692,0,0,0.000,0,0.000,0.77711161263511841,0.407498889339809,0.019350338519393641,0.047743936426175734,0.776070116874401,0.40475419454635631,0.019290894862499745,0.047611697337397729,2.5786965853032313E-10,2.6014923883897457E-10,3000000
4,6.011,3000000,100.000,16.514,0,0,0.000,0,0.000,0.78835787492487275,0.4495066519530565,0.019523563323361789,0.046430756659415165,0.7979822626821258,0.47104933254283476,0.018050047054062962,0.043167423965791776,1.0708775187712522E-09,1.1725193241184707E-09,3000000
5,6.294,3000000,100.000,17.730,0,0,0.000,0,0.000,0.78208987392189011,0.43755399800855033,0.017767876456754903,0.04265397285088364,0.77824611809613309,0.42968720410369615,0.017929111424428764,0.0428337567221684,4.86505712501194E-09,4.9228850096739792E-09,3000000
6,6.590,3000000,100.000,17.641,0,0,0.000,0,0.000,0.71339384997094035,0.29383807057525024,0.023042531943582946,0.050461530753374263,0.7135652747477047,0.29386014997874577,0.022554874447967315,0.049310693638230978,1.0727417307249856E-08,1.1047370551978013E-08,3000000
7,6.900,3000000,100.000,21.207,0,0,0.000,0,0.000,0.75238645681551808,0.38429978177754753,0.020462458899414216,0.045598621603553754,0.75166033657955589,0.38349716792201888,0.020497550354860044,0.045604251099492864,3.1526306441796026E-08,3.1558464056765871E-08,3000000
8,7.225,3000000,100.000,20.927,0,0,0.000,0,0.000,0.65549428172733826,0.19589332622494698,0.026284185812388814,0.054572312993233944,0.65501055587888446,0.19552226825288124,0.026301369388503824,0.054558023773008779,6.3162699411806946E-08,6.32058262717791E-08,3000000
9,7.566,3000000,100.000,19.534,0,0,0.000,0,0.000,0.61695115703997583,0.16831372204567457,0.032849922603878472,0.064521643639263715,0.61374796459104364,0.16161135909907409,0.032698320483251622,0.064215980590325544,1.2047135945860185E-07,1.2219449527341836E-07,3000000
10,7.922,3000000,100.000,27.497,0,0,0.000,0,0.000,0.63587511022169962,0.20050725661146854,0.028393986884237537,0.055894816015770191,0.63587511027485089,0.20050725671527855,0.028393986875048866,0.055894815998718109,2.7969615976240693E-07,2.7969615982011682E-07,3000000
11,8.295,3000000,100.000,30.359,0,0,0.000,0,0.000,0.58742825623715567,0.1286872778606219,0.032418414532588341,0.060970819070716296,0.58846655190772634,0.12934836201943148,0.031784090680307436,0.059628316786958242,4.0839772820258005E-07,4.1907339311725872E-07,3000000
12,8.686,3000000,100.000,32.470,0,0,0.000,0,0.000,0.5501398547897921,0.075263500356808885,0.031932531574122715,0.055460213379101286,0.54782736371685392,0.071614946014068787,0.031840926412453043,0.055257007191966211,7.0873788296327379E-07,7.1495413257417292E-07,3000000
13,9.095,3000000,100.000,23.608,0,0,0.000,0,0.000,0.5687191931335539,0.11887782517953352,0.029738247267197787,0.049844412848914478,0.56695791783966742,0.11545329617099576,0.029333655429921571,0.049040476569430357,1.2545763824380692E-06,1.2816049304709921E-06,3000000
14,9.523,3000000,100.000,29.708,0,0,0.000,0,0.000,0.54637304803658349,0.078066039683298491,0.027629472437335975,0.047056027537767359,0.54547117220117569,0.079027361243933086,0.027429740580265979,0.046470763063061415,2.1393335275347228E-06,2.1993542676491778E-06,3000000
15,9.972,3000000,100.000,34.694,0,0,0.000,0,0.000,0.48670143594962251,0.020534925652682039,0.029836191756007498,0.0446480124360995,0.48390376720432893,0.013197793157024051,0.02935092696648119,0.044064981312730594,2.9075330778247993E-06,2.9754320362176609E-06,3000000
16,10.441,3000000,100.000,32.965,0,0,0.000,0,0.000,0.53235974770153882,0.084899782484662872,0.02885836726012727,0.045273919290124122,0.5290770437782405,0.078510748852291423,0.02852033119808605,0.044774073546101412,3.8710369518977285E-06,3.94682406294223E-06,3000000
17,10.933,3000000,100.000,31.007,1,0,100.000,0,0.000,0.52127348113273586,0.068960041230588159,0.024903016564527074,0.036239164866811349,0.51732175080269882,0.066018591064126914,0.024928116833689506,0.036056756793914027,5.9840351303738659E-06,6.0370124050217475E-06,3000000
