section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,7018,,,,,,,,,,,,,
meta,chi2ndf,,,1.2829863099816607,,,,,,,,,,,,,
meta,chi2ndf_pois,,,5.4710266785506656,,,,,,,,,,,,,
meta,model_residual,,,0.803114134738556,,,,,,,,,,,,,
meta,gain,,,1,,,,,,,,,,,,,
meta,offset_channels,,,0,,,,,,,,,,,,,
meta,cascade_summing,,,0,,,,,,,,,,,,,
meta,response_matrix,,,0,,,,,,,,,,,,,
component,Pb-212,Single,1,15.843003051828642,24.863060456910798,0.95342141953694948,1.918040978788782,8226.23803668004,45.639844652562374,,Th-232,,,,,,
component,Ra-224,Single,1,15.843003051828642,24.863060456910798,0.95342141953694948,1.918040978788782,405.15761306896377,2.6757863712550165,,Th-232,,,,,Pb-212,
component,Tl-208,Single,1,12.208799329640398,6.9826882980078,2.6866072182021732,5.4619289833142579,1202.8992650255072,9.486279381218699,,Th-232,,,,,,
component,Esc-CsI,Nuisance,1,751.86829108328129,26.365811937382691,,,8516.2312226234826,33.839216525116477,,,,,,,,
component,DE-2615,Nuisance,1,2.6968969456119356,3.1207885395778034,,,98.389705447702113,0.85457413621155209,,,,,,,,
component,Backscatter,Nuisance,1,0.01446766892657092,2.918939524935007,,,1373.8879179905034,7.38824655323849,,,,,,,,
limit,Ra-226,Single,0,0,,12.393597041432587,24.948476118207385,,,,Ra-226,5.133635718208,744.98867839619913,0,0.019351962749848961,,Pb-214
limit,Rn-222,Single,0,0,,846.87475979938529,1722.8327514321015,,,,Ra-226,0.0783042308748,256.46758261367359,0,0.091894128293660615,,Pb-214
limit,Pb-214,Single,0,0,,1.2191862543571053,2.4609622994691809,,,,Ra-226,94.505653357680131,933.704315359962,0,0.11363561734948924,,
limit,Bi-214,Single,0,0,,1.8298892964307683,3.7135694131666406,,,,Ra-226,122.71895281633157,413.49593140373543,0,0.29827885900499851,,Pb-214
limit,Pb-210,Single,0,0,,33.181837543509232,66.727321783143623,,,,Ra-226,26.91627,1664.5964710356714,0,0.90692571823264034,,Pb-214
limit,Po-214,Single,0,0,,6983.0426654259527,14361.675184926438,,,,Ra-226,0.010353,147.7007809528196,0,1.889191397008716E-05,,Pb-214
limit,Th-232,Single,0,0,,307.58464575124856,618.40659390032863,,,,Th-232,7.423185247404,1264.0351227973686,0,0.63863111963259533,,Pb-212
limit,Ac-228,Single,0,0,,1.9654512820447727,3.9695348229454885,,,,Th-232,145.35600000000002,1017.9296937671271,0,0.042119423426165592,,
limit,Th-228,Single,0,0,,60.672968032039982,121.78658891513039,,,,Th-232,10.105904793021921,1529.4737224901246,0,0.45514875183427583,,Pb-212
limit,Rn-220,Single,0,0,,718.85192989537018,1463.7540408953716,,,,Th-232,0.114,261.69173358440656,0,0.40059879525548192,,Pb-212
limit,Po-216,Single,0,0,,41653.122350699188,85692.3472435526,,,,Th-232,0.001920532684989,154.85143558930957,0,6.6146074783057784E-05,,Pb-212
limit,Pb-212,Single,1,15.843003051828642,,0.95342141953694948,1.918040978788782,,,,Th-232,95.4808434613717,1044.9642522074546,0,0.13503861717732024,,
limit,Bi-212,Single,0,0,,10.293346528133496,21.056014335856062,,,,Th-232,19.710290382119197,385.99337266909947,0,0.025419146181766661,,Pb-212
limit,Tl-208,Single,1,12.208799329640398,,2.6866072182021732,5.4619289833142579,,,,Th-232,237.97700000000003,538.14877141106865,0,0.40386712777084133,,
limit,Po-210,Single,0,0,,6983.0426654259527,14361.675184926438,,,,Ra-226,0.0010412013754128,14.105954202430125,0,1.889191397008716E-05,Po-214,
limit,Ra-224,Single,1,15.843003051828642,,0.95342141953694948,1.918040978788782,,,,Th-232,4.9110716456426715,49.05060626399527,0,0.13503861717732024,Pb-212,
