node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,12.390,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,13.101,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,12.941,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,13.421,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,13.580,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,13.847,0,0,0.000,0,0.000,0.62041153606130506,0.14173863029672509,0.012928668796390704,0.024445169985324245,0.61973976150998944,0.13948520335575904,0.012799472395173981,0.024155457511250877,1.5098121909712912E-30,1.5355406947642024E-30,3000000
6,6.590,3000000,100.000,14.199,0,0,0.000,0,0.000,0.65121675877368013,0.19112567357060681,0.0057647402604690968,0.010995779287617318,0.65075232467514843,0.18942394306284571,0.0056986711073867035,0.010846590839695197,6.4480712657971666E-27,6.6101347268296672E-27,3000000
7,6.900,3000000,100.000,15.597,0,0,0.000,0,0.000,0.66612483561738134,0.21782228525709058,0.0043549478084688419,0.0086987221644565776,0.666289812931214,0.21850271089698328,0.0043268595839661469,0.0086372782500199752,5.1638552841216912E-24,5.2399998544700913E-24,3000000
8,7.225,3000000,100.000,16.374,0,0,0.000,0,0.000,0.60499598405697275,0.17003959247191219,0.057789162079549559,0.052503338454066288,0.60600028658414851,0.1716207401090469,0.057396824930562071,0.052210853568344644,2.2032300524782475E-21,2.2219286219074207E-21,3000000
9,7.566,3000000,100.000,17.638,0,0,0.000,0,0.000,0.68734712596802161,0.26694556200825359,0.0034713676653546086,0.0064097634658731566,0.6869572716485054,0.26648248089108872,0.0034536781958472255,0.0063768940389547944,3.8394456103111528E-19,3.889056857530076E-19,3000000
10,7.922,3000000,100.000,20.359,0,0,0.000,0,0.000,0.69349342691394755,0.28589768008916677,0.004837594455870846,0.0070089510564794863,0.69329626105680109,0.285499988165433,0.0047803792945589367,0.0069378971208525417,3.7984387346264946E-17,3.8504003802986471E-17,3000000
11,8.295,3000000,100.000,20.468,0,0,0.000,0,0.000,0.71304277380406988,0.32582347125676192,0.0023601655039154684,0.0044739609629128752,0.71327459839900809,0.32623527244387707,0.0023407527971856441,0.0044394848363879785,2.2605743457351071E-15,2.2883938591158488E-15,3000000
12,8.686,3000000,100.000,21.353,0,0,0.000,0,0.000,0.7253074950243531,0.34887342301643176,0.0039671835188556381,0.0077557934747916257,0.72550903453754623,0.34919216141940473,0.0039531864158228753,0.0077440275816797735,8.96005430467021E-14,9.0899447071968867E-14,3000000
13,9.095,3000000,100.000,22.720,0,0,0.000,0,0.000,0.7256703273206172,0.35027021128795693,0.0016488592582918345,0.0031001650809390157,0.72554694326677527,0.35014260705012396,0.0016393586045660553,0.0030796947969644888,2.2623877614918316E-12,2.2871222196275364E-12,3000000
14,9.523,3000000,100.000,23.612,0,0,0.000,0,0.000,0.76254806167837619,0.36378713663210621,0.010551388184897684,0.0028525111877539698,0.76251979541684578,0.36396742903509016,0.010527110028672184,0.0029473052539309391,1.0148254280760758E-10,1.0188666554979355E-10,3000000
15,9.972,3000000,100.000,24.003,0,0,0.000,0,0.000,0.74316404144716774,0.38920872676785945,0.0053056030440298369,0.012292402692724689,0.74310002651852858,0.38903762964506827,0.0052609856053996845,0.012188951079569818,4.8385880778117268E-10,4.8814762527337842E-10,3000000
