node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.384,0,0,0.000,0,0.000,0.84977700901281583,0.5813228658791818,0.013989525365171273,0.036247214524192918,0.84862903860704741,0.57853803841310858,0.014070435088528579,0.036408559984473482,4.8291766249577678E-11,4.8518122340860205E-11,3000000
1,5.235,3000000,100.000,7.024,0,0,0.000,0,0.000,0.81656609206841058,0.500990377969571,0.016758742463557963,0.043225125009937332,0.82133278614213934,0.51214032839520052,0.015859016975302086,0.041152969077602825,2.5527038165873848E-10,2.7942952906837988E-10,3000000
2,5.482,3000000,100.000,7.847,0,0,0.000,0,0.000,0.76538871854629575,0.37767030499116266,0.019293302911201838,0.047082554820552652,0.763308060578422,0.37345717510445375,0.019369093439993792,0.047140697750052668,9.0800770660354345E-10,9.1454798972813484E-10,3000000
3,5.740,3000000,100.000,8.459,0,0,0.000,0,0.000,0.783386747007863,0.43513787551479627,0.022301883821909195,0.054020018294183778,0.781504936188604,0.43145528707418784,0.022390834316281895,0.054108048583020735,2.9187197054857158E-09,2.9346547293165922E-09,3000000
4,6.011,3000000,100.000,8.792,0,0,0.000,0,0.000,0.76511454121881151,0.37928227543408283,0.017057747707841069,0.038920556968097084,0.77146870486058339,0.39608659079469055,0.016872436077340076,0.038789125963865308,1.0821099921522118E-08,1.1411435217240059E-08,3000000
5,6.294,3000000,100.000,9.002,0,0,0.000,0,0.000,0.74330083688702375,0.34418005508566091,0.020749637971817225,0.048564801510618413,0.73906986227176119,0.33537365799507485,0.020679571719571903,0.048245119368323625,2.9777105124018071E-08,3.0413371589491771E-08,3000000
6,6.590,3000000,100.000,10.771,0,0,0.000,0,0.000,0.73729129328149678,0.33904372519685722,0.024952605683665328,0.056488662648841739,0.7336784819692036,0.3319205722206755,0.024983091039416885,0.056409765222704245,5.18917732785146E-08,5.2596553375699436E-08,3000000
7,6.900,3000000,100.000,11.093,0,0,0.000,0,0.000,0.7076025959962654,0.26523087603526896,0.021966153421912483,0.0484068301917194,0.70760260055020652,0.26523088663077576,0.021966152625622598,0.0484068284528728,1.2533886687576261E-07,1.2533887008397859E-07,3000000
8,7.225,3000000,100.000,11.465,0,0,0.000,0,0.000,0.677813389860985,0.20412056214364407,0.021203118003053929,0.045338445637952876,0.68050971477638589,0.20826377870028831,0.020572736392441678,0.044085051734427894,2.8652848341915755E-07,2.9783350626439586E-07,3000000
9,7.566,3000000,100.000,11.233,0,0,0.000,0,0.000,0.71467251615824889,0.2927687385600693,0.024694997036767145,0.055172043946048743,0.71467298481429486,0.2927697922829603,0.024694895224643337,0.055171818809767917,4.3488186578500507E-07,4.34883309432004E-07,3000000
10,7.922,3000000,100.000,11.461,0,0,0.000,0,0.000,0.69001828304256552,0.23410333961273344,0.02255561835200923,0.0484427858799584,0.69293499856204788,0.23948611286948679,0.022094979516665277,0.047532897808341426,7.811231518760985E-07,8.0459062120694556E-07,3000000
11,8.295,3000000,100.000,11.941,0,0,0.000,0,0.000,0.66959392245766713,0.20893781784157334,0.024648063257417311,0.050315053377234929,0.66961605830850945,0.20898440731454343,0.024643810364603853,0.050306484816196727,1.1386690760490263E-06,1.1388292741921415E-06,3000000
12,8.686,3000000,100.000,11.826,0,0,0.000,0,0.000,0.62036728915600425,0.10835920735030846,0.023269619704446621,0.042473756443672725,0.62636958583975655,0.12133489255767813,0.023388934557082682,0.043214198580792625,1.5894764270729779E-06,1.6211021129334759E-06,3000000
13,9.095,3000000,100.000,11.818,1,0,100.000,0,0.000,0.67317148578273289,0.21622322908817532,0.022566821391422576,0.044801429556173278,0.67240068562668831,0.21455027853052472,0.022233143424794429,0.043941884550309465,2.1561878497333404E-06,2.2228301633861004E-06,3000000
14,9.523,3000000,100.000,11.720,8,0,100.000,0,0.000,0.6859116558605699,0.24304347367729892,0.014514139293772691,0.029065173402728628,0.68653171762544452,0.24437240397047605,0.014436047778123698,0.028912495309856973,5.3759891811405332E-06,5.4070537423218518E-06,3000000
15,9.972,3000000,100.000,12.124,23,0,100.000,0,0.000,0.72204082129956859,0.31695228106724138,0.007878685430004034,0.015715773011242034,0.72229080196988393,0.31748793421927651,0.0078164172895175132,0.015592816548941976,1.2556969035587514E-05,1.2661140205669206E-05,3000000
16,10.441,3000000,100.000,12.106,84,0,100.000,1,1.190,0.72747584249879049,0.33228601862203744,0.0039061643765370638,0.00764109490668599,0.72670406332581616,0.33094582745787421,0.0039145984868335579,0.0076195826321572386,3.3754920567986676E-05,3.4170733329884759E-05,3000000
17,10.933,3000000,70.711,12.046,249,2,99.203,3,1.195,0.72143399608164216,0.31952154941675048,0.0018147790960525755,0.0036249518775441029,0.721373893606633,0.31939921376083191,0.0017974434853464966,0.0035909466015439694,9.05190031315371E-05,9.1435683404721263E-05,3000000
18,11.448,3000000,57.735,13.280,649,3,99.540,5,0.767,0.71123071352884693,0.30165526595541664,0.00088271167754256285,0.0017496634897787948,0.71107594005514574,0.30132184099182246,0.00088330874020451484,0.0017509427391463497,0.00022068411292546386,0.00022318653500920629,3000000
19,11.987,3000000,22.942,13.060,1537,19,98.779,31,1.992,0.69769751346618936,0.276900859724383,0.00059573038090271794,0.0012007801146267914,0.69753695139016947,0.27659386527666,0.00059144415741368864,0.0011923041870833843,0.00049611869104784973,0.00050088090897753527,3000000
20,12.552,3000000,16.667,12.265,3116,36,98.858,61,1.935,0.6843531718082011,0.2531805179167288,0.00043624719312536733,0.0008761400919687684,0.68414958972803264,0.2528477558912815,0.00043451026410910127,0.000872599099553046,0.0010095880273348814,0.0010190499859641644,3000000
