node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,5.506,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,5.694,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,8.601,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,8.842,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,8.816,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,8.498,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
6,6.590,3000000,100.000,8.618,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
7,6.900,3000000,100.000,8.878,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
8,7.225,3000000,100.000,9.070,0,0,0.000,0,0.000,0.58445295617123172,0.15227438541761071,0.17494982146026469,0.20917097392086578,0.58445295617123172,0.15227438541761071,0.17494982146026469,0.20917097392086578,2.5007068796088505E-34,2.5007068796088505E-34,3000000
9,7.566,3000000,100.000,9.106,0,0,0.000,0,0.000,0.85363074588395271,0.6309771773301357,0.004553804874598659,0.010249221258382565,0.8544521278105951,0.63258377911355168,0.004513535583619061,0.010170886525127737,1.6533431741558475E-28,1.6767650914385915E-28,3000000
10,7.922,3000000,100.000,9.067,0,0,0.000,0,0.000,0.8336285388873782,0.58512411198473058,0.0044021059873937535,0.00974755082298839,0.83416835944187062,0.58604563910484864,0.0043584731826644988,0.0096721967636171444,1.7034792181330905E-25,1.7294367805048907E-25,3000000
11,8.295,3000000,100.000,9.565,0,0,0.000,0,0.000,0.83854816733055659,0.60023155011395712,0.0040400091285733384,0.0087237127600787046,0.83828466331020857,0.60005499577449484,0.0040308225105394994,0.0086801847863015747,8.4476764597665758E-23,8.5099865880315938E-23,3000000
12,8.686,3000000,100.000,10.516,0,0,0.000,0,0.000,0.807089825614978,0.53965113042036139,0.0078984188207133019,0.018992766462445548,0.80683005515872075,0.53916799755349765,0.0078240116088745884,0.01880727468647066,1.7952153656973538E-20,1.8125627321607775E-20,3000000
13,9.095,3000000,100.000,11.115,0,0,0.000,0,0.000,0.7845928628435821,0.51110089893004718,0.017022636918737878,0.022545943640877177,0.78486431348744079,0.51135773674733942,0.016874601895254252,0.022350928128895733,2.302685787847033E-18,2.3238980595382132E-18,3000000
14,9.523,3000000,100.000,11.731,0,0,0.000,0,0.000,0.81045723836235817,0.52333574828133245,0.0056695605578669338,0.012325983762065193,0.81001313642296557,0.52233089956722645,0.0056350550182049054,0.012252386471140452,5.9912519858689175E-17,6.060679062336257E-17,3000000
15,9.972,3000000,100.000,11.934,0,0,0.000,0,0.000,0.751892392354746,0.40243045098960534,0.039238052163061518,0.084932629746206662,0.7519227345487608,0.40335537460990195,0.039024684941190109,0.084573968586132642,2.8937414880757569E-15,2.9101514895790203E-15,3000000
16,10.441,3000000,100.000,11.763,0,0,0.000,0,0.000,0.78298844155713232,0.46709089068242232,0.0058720764669047054,0.01250865372720753,0.78300211664931019,0.46701152598618656,0.0058384062702201457,0.012438209143703673,4.8280438128666818E-14,4.8614065334993564E-14,3000000
17,10.933,3000000,100.000,12.076,0,0,0.000,0,0.000,0.76887588031725007,0.43696589330462254,0.0058701260396470719,0.012379359422311803,0.77559945091766735,0.45205266377081194,0.0089188530620270354,0.019770784006688736,7.1148041665498219E-13,7.4504642667765476E-13,3000000
18,11.448,3000000,100.000,13.993,0,0,0.000,0,0.000,0.74013744268727377,0.38351992101442445,0.0069445378324738344,0.012734530038433379,0.7404918829487791,0.38409832320193177,0.0069000777074997091,0.01267326269235346,9.4359736678136147E-12,9.5214711031196415E-12,3000000
19,11.987,3000000,100.000,14.003,0,0,0.000,0,0.000,0.717688200797993,0.33886797471450797,0.0089301456277028728,0.018496696426155763,0.71761384269799933,0.33859752630890039,0.00888994071440938,0.018410752992553247,9.3881265116489173E-11,9.4320415705492565E-11,3000000
20,12.552,3000000,100.000,12.528,0,0,0.000,0,0.000,0.7223143557152395,0.35431620357677784,0.0075664435091512194,0.013454438591233657,0.72248907062046952,0.3544853390019006,0.0075070269395247418,0.01335403917100267,7.3572203944678771E-10,7.4242966780825176E-10,3000000
21,13.143,3000000,100.000,12.486,0,0,0.000,0,0.000,0.71135917733689236,0.33035414279851505,0.0080364198345591557,0.016099118809118743,0.71240217264072991,0.33281986571996564,0.0079691964123277427,0.015972245225550963,4.4746988837677653E-09,4.5140000092239612E-09,3000000
22,13.762,3000000,100.000,14.178,0,0,0.000,0,0.000,0.685456790755566,0.28037345232323219,0.0048782410016473187,0.00894264496912345,0.68528411036645731,0.27946218524756844,0.00484604921111464,0.00891750894499477,2.0577086534082484E-08,2.0778837593012526E-08,3000000
23,14.410,3000000,100.000,12.837,1,0,100.000,0,0.000,0.6777106297030957,0.26307011706921,0.0056616215802230384,0.011158751283257343,0.6776335341687344,0.26317442802617813,0.0056568596058165438,0.011154559073141839,9.1463069356168449E-08,9.1899545824303215E-08,3000000
24,15.089,3000000,100.000,12.499,1,0,100.000,0,0.000,0.65595663980249153,0.23286836023648036,0.0046652747872079417,0.0078753414210282931,0.65552466936416021,0.23242703490088554,0.0046587563089068957,0.0078467607194183161,3.1723567710542293E-07,3.1876363839503345E-07,3000000
25,15.799,3000000,100.000,13.222,4,0,100.000,0,0.000,0.65187016763921879,0.22801394232925631,0.0043770957017821941,0.0078835443287806218,0.65200206747914491,0.2284828629955637,0.0043735105684255373,0.0078823794205209359,9.2557505452154223E-07,9.3274599282946353E-07,3000000
26,16.543,3000000,100.000,17.007,7,0,100.000,1,14.286,0.6278694600595246,0.18783923494820104,0.0055554436282215089,0.0099195432645221935,0.62765437611922825,0.18770485979819868,0.0055344596742260685,0.00988221441871628,2.7421660122431977E-06,2.7544375896483687E-06,3000000
27,17.323,3000000,100.000,13.227,15,1,93.750,0,0.000,0.62217621585150729,0.18107603957575041,0.0047358396343153419,0.0083821181019757465,0.62214294105480916,0.181581107671214,0.0047266059450073216,0.0083657793863290073,6.2651352347245715E-06,6.2937823213297579E-06,3000000
28,18.138,3000000,100.000,14.664,51,0,100.000,8,15.686,0.60986460591389291,0.16258167383404964,0.0038013340198637131,0.0067440386767377162,0.60942927320877172,0.16227797887996734,0.0037921072690134529,0.0067222095145875035,1.3975255932852953E-05,1.404619542362855E-05,3000000
29,18.993,3000000,100.000,13.684,83,1,98.810,4,4.762,0.59208811668932615,0.13743509175952162,0.0034526948379699583,0.00579096763408966,0.5918422860081316,0.13768211804767613,0.0034549315112896522,0.0057802105716019975,2.8837078960782288E-05,2.9026076622398994E-05,3000000
30,19.887,3000000,74.803,17.112,181,2,98.907,10,5.464,0.58206538101192673,0.11988724374998347,0.0030235807598523413,0.0049210800666012961,0.58119884329383675,0.11963397106366798,0.0030165814222586915,0.0049013697258680758,5.449598066438707E-05,5.4831355923793582E-05,3000000
31,20.824,3000000,69.442,17.690,315,4,98.746,18,5.643,0.56647512052267179,0.10089819179775468,0.0027687336929185895,0.0044320294801901373,0.5646798249806122,0.10014466045456537,0.0027701939873862186,0.0044142493315206827,9.477315084880996E-05,9.5524809590173142E-05,3000000
32,21.804,3000000,63.311,16.899,485,13,97.390,20,4.016,0.56037647622296816,0.0910633771491753,0.0024843592068695621,0.0039836024011666565,0.55787238144734863,0.089874283182933237,0.0024874272696616662,0.0039671369568056282,0.00015759147254668164,0.00015904739449205623,3000000
33,22.831,3000000,66.102,17.234,786,4,99.494,51,6.456,0.55289726423177432,0.080297620432390179,0.0023060909932879903,0.0036628776021430968,0.54900890076819264,0.078899988570409668,0.0023262130257441344,0.0036526406900324,0.00024728515084712237,0.00025052866683581679,3000000
34,23.907,3000000,39.448,18.296,1210,38,96.955,67,5.369,0.54490689078070376,0.0695006732521191,0.0021483075401105152,0.0033889276735443231,0.53937551574495957,0.068022227197320026,0.0021683299069996664,0.003367396028325296,0.00037980787341376375,0.00038552747323776021,3000000
35,25.033,3000000,9.453,18.667,1623,127,92.743,0,0.000,0.53998577720814034,0.061700145241870029,0.0019930504184191775,0.003108829006208404,0.533811449193769,0.059855094682374953,0.0020117525790267344,0.0030844732790857839,0.000558791757704854,0.00056784519735321611,3000000
36,26.211,3000000,31.054,18.525,2445,57,97.722,133,5.316,0.52869843362437052,0.045552604151019874,0.0018566684752649022,0.0028679505144968663,0.52010218301473921,0.043320153098839562,0.0018832217028777356,0.0028411625747514868,0.00079922704279626242,0.00081605364257165,3000000
37,27.446,3000000,23.032,18.571,3263,248,92.936,89,2.535,0.525733930551206,0.042022541125450667,0.0017513946264129058,0.002689837947272409,0.51527629370698791,0.039786116753516711,0.0017833297376508032,0.002658421747165695,0.0011051950300590288,0.0011325731547865993,3000000
