section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,1800.001,,,,,,,,,,,,,
meta,chi2ndf,,,1.0075631230078799,,,,,,,,,,,,,
meta,chi2ndf_pois,,,1.2353453900608145,,,,,,,,,,,,,
meta,model_residual,,,0.17491810314092662,,,,,,,,,,,,,
meta,gain,,,0.99633387102639992,,,,,,,,,,,,,
meta,offset_channels,,,0,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Co-57,Single,1,63.016756097058654,61.163513664162359,0.62011637873299508,1.2706342303574658,6473.4806011287228,97.752468797998134,,,,,,,,
limit,Co-57,Single,1,63.016756097058654,,0.62011637873299508,1.2706342303574658,,,,,163.44311061911878,130.5276017172377,0,0.066363277994000436,,
untied_tail,Co-57,layer,,,,,,330.02577698555763,,,,,,,,,
tail_in_layer,Co-57,Single,,,,,,330.02577698555763,,,,,,,,,
grey,below_floor,,,,,,,0,0,,,,,,,,
grey,above_lines,,,,,,,181.00618077311449,2.247531202001869,,,,,,,,
grey,spread_floor,,,0,,,,0,,,,,,,,,
grey,residual_floor,,,30,,,,14,,,,,,,,,
grey,residual_missing,,,0.20874551873429428,,,,,,,,,,,,,
grey,residual_excess,,,0.18912313953399071,,,,,,,,,,,,,
