section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity
meta,live_time,,,6964,,,,,,,,,,,
meta,chi2ndf,,,1.1594823302421291,,,,,,,,,,,
meta,chi2ndf_pois,,,6.6541024634710313,,,,,,,,,,,
meta,model_residual,,,0.58776039472457586,,,,,,,,,,,
meta,gain,,,1.0091873127062736,,,,,,,,,,,
meta,offset_channels,,,-13.508244953286539,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,
component,Pb-214,Single,1,314.990230936363,94.946158280630812,4.1190694504571406,8.2785665801411934,72873.270613621236,48.000221999552828,,,,,,
component,Bi-214,Single,1,305.50552364526447,59.559622413552617,6.0804814943428047,12.272662831668686,32882.034646547763,43.043540444500906,,,,,,
component,Pb-212,Single,1,30.883336510232667,13.642911655310977,3.5828146832427308,7.194638168414726,8025.2483804140738,5.3520072738796083,,,,,,
component,Tl-208,Single,1,8.3499485733524814,5.218271645552587,2.5227247370701766,5.1503868047816637,2230.1045938500279,2.5876507644414439,,,,,,
component,Esc-CsI,Nuisance,1,307.9243615849627,3.4805450251418151,,,1847.1381318172885,1.0165795176252193,,,,,,
limit,Pb-214,Single,1,314.990230936363,,4.1190694504571406,8.2785665801411934,,,,,94.505653357680131,1915.2537553121492,0,0.39216816776061469
limit,Bi-214,Single,1,305.50552364526447,,6.0804814943428047,12.272662831668686,,,,,122.71895281633157,1320.9257875969029,0,0.7175123821945133
limit,Pb-212,Single,1,30.883336510232667,,3.5828146832427308,7.194638168414726,,,,,95.4808434613717,1869.5764393722422,0,0.32022534347774956
limit,Bi-212,Single,0,0,,56.286528256889881,114.10911875855341,,,,,19.710290382119197,2128.0625591278863,0,0.72199632362367039
limit,Tl-208,Single,1,8.3499485733524814,,2.5227247370701766,5.1503868047816637,,,,,237.97700000000003,1375.5655106791421,0,0.60729797289699294
