section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity
meta,live_time,,,6964,,,,,,,,,,,
meta,chi2ndf,,,1.0287863424039247,,,,,,,,,,,
meta,chi2ndf_pois,,,6.5482114508063649,,,,,,,,,,,
meta,model_residual,,,0.544193662471181,,,,,,,,,,,
meta,gain,,,1.0127779782898791,,,,,,,,,,,
meta,offset_channels,,,-35.334055520365993,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,
component,Ra-226,Single,1,99.129947712512177,4.530314888190146,35.528504413229768,71.382241937038017,1440.0924157053607,0.79359909731697187,,Ra-226,,,,
component,Pb-214,Single,1,321.29578521593015,72.797438918663133,5.85604284901985,11.768998716467721,74306.295355654438,39.245603400298656,,Ra-226,,,,
component,Bi-214,Single,1,326.97945088985387,62.573568174854309,5.8266201679337151,11.775346522689331,35190.617587536733,36.9709955319597,,Ra-226,,,,
component,Th-232,Single,1,7074.1413220077848,17.087662684281348,650.54698237205912,1305.9985720217844,6767.8276800547919,3.2515072314092404,,Th-232,,,,
component,Th-228,Single,1,3486.0960842416512,26.687772075039195,203.50302923021155,408.031569705911,21284.101991121868,10.950030120371068,,Th-232,,,,
component,Ra-224,Single,1,312.53883525975021,12.657073108125481,39.230471620836333,78.8100151547666,3875.912433253674,2.2722202353809955,,Th-232,,,,
component,Tl-208,Single,1,34.792816095514439,8.2112252662433782,6.5836608161992478,13.427993549472244,3339.6173330696565,3.0730062744037063,,Th-232,,,,
component,Esc-CsI,Nuisance,1,1184.2773646892238,9.9875271161983967,,,7392.7750710415248,3.4430381088596751,,,,,,
limit,Ra-226,Single,1,99.129947712512177,,35.528504413229768,71.382241937038017,,,,Ra-226,5.133635718208,1036.9926303975906,0,0.10688664053931907
limit,Rn-222,Single,0,0,,2903.5902742283461,5868.1674575479983,,,,Ra-226,0.0783042308748,502.51995620751126,0,0.36985217325999109
limit,Pb-214,Single,1,321.29578521593015,,5.85604284901985,11.768998716467721,,,,Ra-226,94.505653357680131,2721.8243590666621,0,0.70353049973113779
limit,Bi-214,Single,1,326.97945088985387,,5.8266201679337151,11.775346522689331,,,,Ra-226,122.71895281633157,1267.3020133619311,0,0.75731854639658347
limit,Pb-210,Single,0,0,,116.08969627427504,233.52296780930692,,,,Ra-226,26.91627,2658.2551860481608,0,0.9399352973520515
limit,Po-214,Single,0,0,,31156.469660920426,63139.656160566446,,,,Ra-226,0.010353,280.74046059069047,0,0.39652027360347342
limit,Po-210,Single,0,0,,310503.04179409705,629377.07308639784,,,,Ra-226,0.0010412013754128,382.6500742429115,0,0.39055033789707583
limit,Th-232,Single,1,7074.1413220077848,,650.54698237205912,1305.9985720217844,,,,Th-232,7.423185247404,1249.4482204283179,0,0.40648575271247323
limit,Ac-228,Single,0,0,,9.552583627249696,19.192502482251353,,,,Th-232,145.35600000000002,4230.1277881349124,0,0.80533553015946213
limit,Th-228,Single,1,3486.0960842416512,,203.50302923021155,408.031569705911,,,,Th-232,10.105904793021921,2491.2065919454935,0,0.62256361224016055
limit,Ra-224,Single,1,312.53883525975021,,39.230471620836333,78.8100151547666,,,,Th-232,4.9110716456426715,977.35283792621465,0,0.1922233309035396
limit,Rn-220,Single,0,0,,2368.6865293616765,4789.5116300352247,,,,Th-232,0.114,400.88535477294238,0,0.519306711935738
limit,Po-216,Single,0,0,,168764.0124789761,342079.26022375509,,,,Th-232,0.001920532684989,382.3043031685562,0,0.3910513008570935
limit,Pb-212,Single,0,0,,11.285585033868289,22.69250843662401,,,,Th-232,95.4808434613717,5897.23655699367,0,0.938987462012255
limit,Bi-212,Single,0,0,,53.416443723789307,108.25066384564968,,,,Th-232,19.710290382119197,2019.8639909760884,0,0.72968177812085955
limit,Tl-208,Single,1,34.792816095514439,,6.5836608161992478,13.427993549472244,,,,Th-232,237.97700000000003,1288.8971068928927,0,0.61429868298586054
