node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.325,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.552,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,7.073,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,7.381,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,7.553,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,8.006,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
6,6.590,3000000,100.000,10.495,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
7,6.900,3000000,100.000,9.998,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
8,7.225,3000000,100.000,10.181,0,0,0.000,0,0.000,0.78927387820691453,0.52343110543042282,0.10837466064633114,0.16492785081575098,0.78927387820691453,0.52343110543042282,0.10837466064633114,0.16492785081575098,9.3127484610267729E-34,9.3127484610267729E-34,3000000
9,7.566,3000000,100.000,10.516,0,0,0.000,0,0.000,0.8598347772714372,0.62009808648140963,0.0065233800492128209,0.016885893551101424,0.86036004824660661,0.62129163795098674,0.0064718837529109821,0.01675093946263562,9.8706290279121591E-29,9.97228167595731E-29,3000000
10,7.922,3000000,100.000,10.645,0,0,0.000,0,0.000,0.85764716574069422,0.61489438643052208,0.0053381015008102843,0.013738330837971562,0.85840887797213017,0.61691531311416159,0.0053441343522980635,0.013785493907887119,1.0662613254026943E-25,1.0754770490204081E-25,3000000
11,8.295,3000000,100.000,10.678,0,0,0.000,0,0.000,0.86735955992391434,0.63922995132984473,0.0049044232075515339,0.012596235447345347,0.86810149503900447,0.64134555526005188,0.00487749776349992,0.0125382688304319,5.2870551913645238E-23,5.3431226479921843E-23,3000000
