section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to
meta,live_time,,,7018,,,,,,,,,,,,
meta,chi2ndf,,,1.0729041951781968,,,,,,,,,,,,
meta,chi2ndf_pois,,,4.8210114726126223,,,,,,,,,,,,
meta,model_residual,,,0.74241940962217245,,,,,,,,,,,,
meta,gain,,,1.0027264848905211,,,,,,,,,,,,
meta,offset_channels,,,0,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,
component,Pb-210,Single,1,45.682104710217658,4.9134446581425584,14.957691518392833,30.119372395456928,1202.693658011176,5.023605481184779,,Ra-226,,,,,
component,Th-232,Single,1,1839.5777963800183,13.610228826974632,213.84007218481938,429.62040760959758,3987.5490077252971,21.152303214909047,,Th-232,,,,,
component,Pb-212,Single,1,14.739419399782729,25.180665228972284,0.87969654190163971,1.769201391577772,8795.4190623252452,66.367024517501221,,Th-232,,,,,
component,Ra-224,Single,1,14.739419399782729,25.180665228972284,0.87969654190163971,1.769201391577772,420.12779433282469,3.8830044033781848,,Th-232,,,,,Pb-212
limit,Ra-226,Single,0,0,,11.135605762027639,22.403608145561954,,,,Ra-226,5.133635718208,744.71281836320259,0,0.017886083009372777,
limit,Rn-222,Single,0,0,,732.2246438193373,1488.1688104654759,,,,Ra-226,0.0783042308748,272.49964003831235,0,0.055606680359538196,
limit,Pb-214,Single,0,0,,1.0851520011092501,2.1883194916427029,,,,Ra-226,94.505653357680131,1134.1681619653743,0,0.14732174962564759,
limit,Bi-214,Single,0,0,,1.4178973816711919,2.861711060245931,,,,Ra-226,122.71895281633157,614.61022946956587,0,0.3327884283324809,
limit,Pb-210,Single,1,45.682104710217658,,14.957691518392833,30.119372395456928,,,,Ra-226,26.91627,792.96648858629908,0,0.62633772904306417,
limit,Po-214,Single,0,0,,6025.6949178062951,12345.576971305954,,,,Ra-226,0.010353,165.86255306943494,0,0.029255699624918363,
limit,Th-232,Single,1,1839.5777963800183,,213.84007218481938,429.62040760959758,,,,Th-232,7.423185247404,931.26392014153782,0,0.32769495294474937,
limit,Ac-228,Single,0,0,,1.4817368758861988,2.9821455387256988,,,,Th-232,145.35600000000002,1417.8124081251929,0,0.10872669489056019,
limit,Th-228,Single,0,0,,61.467799264722025,123.3522763370256,,,,Th-232,10.105904793021921,1702.874012183926,0,0.56890767361291172,
limit,Rn-220,Single,0,0,,604.62541243224553,1229.0577288739735,,,,Th-232,0.114,232.55795162396078,0,0.31212110009484195,
limit,Po-216,Single,0,0,,36130.145235172211,74041.086282088043,,,,Th-232,0.001920532684989,172.84229780196594,0,0.030994493045285232,
limit,Pb-212,Single,1,14.739419399782729,,0.87969654190163971,1.769201391577772,,,,Th-232,95.4808434613717,1109.6548472444249,0,0.17593117443370032,
limit,Bi-212,Single,0,0,,8.7264652356498633,17.759524945769023,,,,Th-232,19.710290382119197,665.72870893396282,0,0.06938993426070561,
limit,Tl-208,Single,0,0,,2.3709432777544373,4.800702251068917,,,,Th-232,237.97700000000003,862.6015828648533,0,0.58772660124395215,
limit,Po-210,Single,0,0,,6025.6949178062951,12345.576971305954,,,,Ra-226,0.0010412013754128,15.674289175532827,0,0.029255699624918363,Po-214
limit,Ra-224,Single,1,14.739419399782729,,0.87969654190163971,1.769201391577772,,,,Th-232,4.9110716456426715,50.426867494481733,0,0.17593117443370032,Pb-212
