section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to,unmeasurable_at
meta,live_time,,,52742.322903428576,,,,,,,,,,,,,
meta,chi2ndf,,,24.208863838076383,,,,,,,,,,,,,
meta,chi2ndf_pois,,,152.5395233717808,,,,,,,,,,,,,
meta,model_residual,,,0.25483595718541974,,,,,,,,,,,,,
meta,gain,,,1.0295988559707629,,,,,,,,,,,,,
meta,offset_channels,,,-0.89107208072057464,,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,,
component,Pb-212,Single,1,993.81722585461148,120.82473998642121,7.7343943621338944,15.52187661303943,3121676.4097458152,75.264291969765281,,Th-232,,,,,,
component,Ra-224,Single,1,993.81722585461148,120.82473998642121,7.7343943621338944,15.52187661303943,233240.73615926874,4.5977382451360347,,Th-232,,,,,Pb-212,
limit,Th-232,Single,0,0,,8563.68781464128,17202.664027961091,,,,Th-232,7.423185247404,42206.987460085656,0,0.68534416429833356,,Pb-212
limit,Ac-228,Single,0,0,,14.292305304835335,28.749098549264325,,,,Th-232,145.35600000000002,170997.18494071244,0,0.78161062944845927,,Pb-212
limit,Th-228,Single,0,0,,904.71703610568,1814.6898336256033,,,,Th-232,10.105904793021921,79128.4769114256,0,0.60714652556170012,,Pb-212
limit,Rn-220,Single,0,0,,3849.9859515832741,7752.33350574367,,,,Th-232,0.114,27670.512671226472,0,0.29338763567977388,,Pb-212
limit,Po-216,Single,0,0,,262665.75244820188,527626.53383964766,,,,Th-232,0.001920532684989,25558.252169042269,0,0.57084005705164875,,Pb-212
limit,Pb-212,Single,1,993.81722585461148,,7.7343943621338944,15.52187661303943,,,,Th-232,95.4808434613717,52513.354059182093,0,0.48459841221441868,,
limit,Bi-212,Single,0,0,,51.94668781988404,104.55674304725606,,,,Th-232,19.710290382119197,51345.491006629345,0,0.53112172006217406,,Pb-212
limit,Tl-208,Single,0,0,,14.502814945198264,29.148976375853426,,,,Th-232,237.97700000000003,78663.714304986992,0,0.80890858002143928,,Pb-212
limit,Ra-224,Single,1,993.81722585461148,,7.7343943621338944,15.52187661303943,,,,Th-232,4.9110716456426715,3642.81082893873,0,0.48459841221441868,Pb-212,
